Workbar:,13
Process:,EmptyLine
FileName:,20220811_813 AM

Part Number 1:,
Qty 1:,0

Part Number 2:,
Qty 2:,0

Part Number 3:,
Qty 3:,0

Part Number 4:,
Qty 4:,0

Part Number 5:,
Qty 5:,0


1,Station 7 Load Shuttle,2022-08-12 05:06:08, ,0,0:01,0:02,,,,,

29,Station 42 Rinse,2022-08-11 08:13:41,2022-08-11 08:19:28,5:47,0:05,0:15,,,,,

30,Station 43 Hot Rinse,2022-08-11 08:19:56,2022-08-11 08:37:48,17:52,1:00,2:00,,,,,

31,Station 44 Dryer,2022-08-11 08:38:16,2022-08-11 08:43:46,5:30,5:00,9:00,,,,,

32,Station 45 Unload Shuttle,2022-08-11 08:44:20,2022-08-11 08:44:27,0:07,0:00,0:00,,,,,

33,Station 51 Unload,2022-08-11 08:45:17,2022-08-11 09:34:40,49:23,0:00,0:00,,,,,

34,Station 1 Unload Shuttle,2022-08-11 09:35:05,2022-08-11 09:36:45,1:40,0:00,1:00,,,,,

35,Station 4 Que,2022-08-11 09:37:16,2022-08-12 04:55:30,1158:14,0:00,2:30,,,,,

36,Station 5 Strip,2022-08-12 04:55:59,2022-08-12 05:04:45,8:46,7:00,7:30,,,,,

37,Station 6 Rinse,2022-08-12 05:05:14,2022-08-12 05:05:39,0:25,0:15,0:16,,,,,

