Workbar:,7
Process:,EmptyLine
FileName:,20220810_849 AM

Part Number 1:,
Qty 1:,0

Part Number 2:,
Qty 2:,0

Part Number 3:,
Qty 3:,0

Part Number 4:,
Qty 4:,0

Part Number 5:,
Qty 5:,0


1,Station 7 Load Shuttle,2022-08-10 10:03:20, ,0,0:01,0:02,,,,,

2,Station 8 Cleaner,2022-08-10 10:09:41, ,0,4:00,5:30,,,,,

3,Station 9 Rinse,2022-08-10 10:15:27, ,0,0:00,2:00,,,,,

4,Station 10 Electroclean,2022-08-10 10:17:38, ,0,2:00,2:10,,,,,

5,Station 11 Rinse,2022-08-10 10:20:40, ,0,0:00,1:30,,,,,

6,Station 12 Rinse,2022-08-10 10:26:23, ,0,0:05,3:00,,,,,

7,Station 13 Rinse,2022-08-10 10:29:18, ,0,0:15,2:00,,,,,

8,Station 14 Acid Clean,2022-08-10 10:30:46, ,0,0:25,0:30,,,,,

9,Station 15 Rinse,2022-08-10 10:31:48, ,0,0:00,1:00,,,,,

10,Station 16 Rinse,2022-08-10 10:32:19, ,0,0:15,1:00,,,,,

11,Station 17 CN Copper Plate,2022-08-10 12:06:48, ,0,24:00,24:10,,,,,

12,Station 19 Rinse,2022-08-11 04:15:11, ,0,0:00,1:00,,,,,

13,Station 20 Rinse,2022-08-12 04:11:44, ,0,0:05,1:00,,,,,

14,Station 21 Rinse,2022-08-12 04:16:32, ,0,1:00,3:00,,,,,

15,Station 22 Acid,2022-08-12 04:20:50, ,0,0:15,0:30,,,,,

16,Station 23 Rinse,2022-08-12 04:27:29, ,0,0:00,0:30,,,,,

17,Station 24 Shuttle,2022-08-12 04:30:46, ,0,0:00,0:00,,,,,

18,Station 25 Shuttle,2022-08-12 04:31:15, ,0,0:00,10:00,,,,,

19,Station 26 Acid Copper Plate,2022-08-12 04:40:05, ,0,12:00,13:00,,,,,

20,Station 28 Rinse,2022-08-12 04:58:17, ,0,0:00,0:15,,,,,

21,Station 29 Rinse,2022-08-12 04:58:47, ,0,0:05,0:15,,,,,

22,Station 30 Nickel Activator,2022-08-12 04:59:22, ,0,1:00,2:00,,,,,

23,Station 31 Nickel Plate,2022-08-12 05:18:12, ,0,25:00,26:00,,,,,

24,Station 35 Rinse,2022-08-12 05:46:14, ,0,0:00,0:15,,,,,

25,Station 36 Rinse,2022-08-12 05:46:44, ,0,0:05,0:15,,,,,

26,Station 39 Acid PreDip,2022-08-12 05:47:51, ,0,1:00,2:00,,,,,

27,Station 40 Trivalent Chrome,2022-08-12 05:51:34, ,0,3:30,4:00,,,,,

28,Station 41 Rinse,2022-08-12 08:06:56, ,0,0:00,0:15,,,,,

29,Station 42 Rinse,2022-08-12 08:15:46, ,0,0:05,0:15,,,,,

30,Station 43 Hot Rinse,2022-08-12 08:26:02, ,0,1:00,2:00,,,,,

31,Station 44 Dryer,2022-08-12 08:34:51, ,0,5:00,9:00,,,,,

32,Station 45 Unload Shuttle,2022-08-12 08:40:41, ,0,0:00,0:00,,,,,

33,Station 51 Unload,2022-08-12 08:41:38, ,0,0:00,0:00,,,,,

34,Station 1 Unload Shuttle,2022-08-12 08:42:18, ,0,0:00,1:00,,,,,

35,Station 2 Que,2022-08-12 08:43:44, ,0,0:00,2:30,,,,,

36,Station 5 Strip,2022-08-12 09:16:50, ,0,7:00,7:30,,,,,

37,Station 6 Rinse,2022-08-10 08:49:03,2022-08-12 09:25:13,2916:10,0:15,0:16,,,,,

