Workbar:,14
Process:,EmptyLine
FileName:,20220826_609 AM

Part Number 1:,
Qty 1:,0

Part Number 2:,
Qty 2:,0

Part Number 3:,
Qty 3:,0

Part Number 4:,
Qty 4:,0

Part Number 5:,
Qty 5:,0


1,Station 7 Load Shuttle,2022-08-26 07:29:27, ,0,0:01,0:02,,,,,

31,Station 44 Dryer,2022-08-26 06:09:52,2022-08-26 06:19:44,9:52,5:00,9:00,,,,,

32,Station 45 Unload Shuttle,2022-08-26 06:20:17,2022-08-26 06:20:24,0:07,0:00,0:00,,,,,

33,Station 51 Unload,2022-08-26 06:21:13,2022-08-26 06:21:22,0:09,0:00,0:00,,,,,

34,Station 1 Unload Shuttle,2022-08-26 06:21:48,2022-08-26 06:23:54,2:06,0:00,1:00,,,,,

35,Station 2 Que,2022-08-26 06:24:23,2022-08-26 07:07:41,43:18,0:00,2:30,,,,,

36,Station 5 Strip,2022-08-26 07:08:13,2022-08-26 07:15:59,7:46,7:00,7:30,,,,,

37,Station 6 Rinse,2022-08-26 07:16:29,2022-08-26 07:28:57,12:28,0:15,0:16,,,,,

