Workbar:,4
Process:,NickelOnly
FileName:,20220830_516 AM

Part Number 1:,
Qty 1:,0

Part Number 2:,
Qty 2:,0

Part Number 3:,
Qty 3:,0

Part Number 4:,
Qty 4:,0

Part Number 5:,
Qty 5:,0


1,Station 7 Load Shuttle,2022-08-30 05:17:02,2022-08-30 05:22:36,5:34,0:01,0:30,,,,,

2,Station 8 Cleaner,2022-08-30 05:23:06,2022-08-30 05:30:35,7:29,4:00,8:30,,,,,

3,Station 9 Rinse,2022-08-30 05:31:05,2022-08-30 05:34:49,3:44,0:00,5:00,,,,,

4,Station 10 Electroclean,2022-08-30 05:35:20,2022-08-30 05:37:30,2:10,2:00,2:10,,,,,

5,Station 11 Rinse,2022-08-30 05:38:01,2022-08-30 05:40:32,2:31,0:00,1:00,,,,,

6,Station 12 Rinse,2022-08-30 05:41:02,2022-08-30 05:42:31,1:29,0:00,1:00,,,,,

7,Station 13 Rinse,2022-08-30 05:43:00,2022-08-30 05:43:03,0:03,0:00,1:00,,,,,

8,Station 14 Acid Clean,2022-08-30 05:43:33,2022-08-30 05:44:06,0:33,0:25,0:30,,,,,

9,Station 15 Rinse,2022-08-30 05:44:36,2022-08-30 05:44:39,0:03,0:00,1:00,,,,,

10,Station 16 Rinse,2022-08-30 05:45:08,2022-08-30 05:45:10,0:02,0:00,0:05,,,,,

11,Station 18 CN Copper Plate,2022-08-30 05:45:43,2022-08-30 06:10:05,24:22,24:00,24:10,,,,,

12,Station 19 Rinse,2022-08-30 06:10:35,2022-08-30 06:11:57,1:22,0:00,5:00,,,,,

13,Station 20 Rinse,2022-08-30 06:12:27,2022-08-30 06:16:44,4:17,0:00,5:00,,,,,

14,Station 21 Rinse,2022-08-30 06:17:12,2022-08-30 06:18:28,1:16,0:00,5:00,,,,,

15,Station 22 Acid,2022-08-30 06:18:57,2022-08-30 06:19:00,0:03,0:00,0:30,,,,,

16,Station 23 Rinse,2022-08-30 06:19:30,2022-08-30 06:26:30,7:00,0:00,5:00,,,,,

17,Station 24 Shuttle,2022-08-30 06:27:00,2022-08-30 06:27:07,0:07,0:00,0:00,,,,,

18,Station 25 Shuttle,2022-08-30 06:27:30,2022-08-30 06:31:24,3:54,0:00,10:00,,,,,

19,Station 27 Acid Copper Plate,2022-08-30 06:31:56,2022-08-30 06:44:04,12:08,12:00,13:00,,,,,

20,Station 28 Rinse,2022-08-30 06:44:33,2022-08-30 06:44:35,0:02,0:00,0:15,,,,,

21,Station 29 Rinse,2022-08-30 06:45:03,2022-08-30 06:45:10,0:07,0:05,0:15,,,,,

22,Station 30 Nickel Activator,2022-08-30 06:45:39,2022-08-30 06:47:31,1:52,1:00,2:00,,,,,

23,Station 33 Nickel Plate,2022-08-30 06:48:04,2022-08-30 07:13:27,25:23,25:00,26:00,,,,,

24,Station 35 Rinse,2022-08-30 07:13:58,2022-08-30 07:14:01,0:03,0:00,0:15,,,,,

25,Station 36 Rinse,2022-08-30 07:14:28,2022-08-30 07:15:02,0:34,0:05,0:15,,,,,

26,Station 42 Rinse,2022-08-30 07:15:42,2022-08-30 07:15:49,0:07,0:05,0:15,,,,,

27,Station 43 Hot Rinse,2022-08-30 07:16:17,2022-08-30 07:17:24,1:07,1:00,2:00,,,,,

28,Station 44 Dryer,2022-08-30 07:17:53,2022-08-30 07:23:03,5:10,5:00,9:00,,,,,

29,Station 45 Unload Shuttle,2022-08-30 07:23:36,2022-08-30 07:23:43,0:07,0:00,0:00,,,,,

30,Station 51 Unload,2022-08-30 07:24:32,2022-08-30 07:26:34,2:02,0:00,0:00,,,,,

31,Station 1 Unload Shuttle,2022-08-30 07:26:58,2022-08-30 07:28:21,1:23,0:00,1:00,,,,,

32,Station 2 Que,2022-08-30 07:28:50,2022-08-30 08:01:33,32:43,0:00,2:30,,,,,

33,Station 5 Strip,2022-08-30 08:02:05,2022-08-30 08:09:43,7:38,7:00,7:30,,,,,

34,Station 6 Rinse,2022-08-30 08:10:13,2022-08-30 08:22:04,11:51,0:15,0:16,,,,,

