Workbar:,8
Process:,BrightCopper
FileName:,20220727_447 AM

Part Number 1:,
Qty 1:,0

Part Number 2:,
Qty 2:,0

Part Number 3:,
Qty 3:,0

Part Number 4:,
Qty 4:,0

Part Number 5:,
Qty 5:,0


1,Station 7 Load Shuttle,2022-07-27 04:48:29,2022-07-27 04:48:47,0:18,0:01,0:02,,,,,

2,Station 8 Cleaner,2022-07-27 05:00:56, ,0,4:00,5:30,,,,,

3,Station 9 Rinse,2022-07-27 05:26:37, ,0,0:00,2:00,,,,,

4,Station 10 Electroclean,2022-07-27 05:40:25, ,0,2:00,2:10,,,,,

5,Station 11 Rinse,2022-07-27 05:43:05, ,0,0:00,1:30,,,,,

6,Station 12 Rinse,2022-07-27 05:45:10, ,0,0:05,3:00,,,,,

7,Station 13 Rinse,2022-07-27 06:09:15, ,0,0:15,2:00,,,,,

8,Station 14 Acid Clean,2022-07-27 06:11:15, ,0,0:25,0:30,,,,,

9,Station 15 Rinse,2022-07-27 06:12:18, ,0,0:00,1:00,,,,,

10,Station 16 Rinse,2022-07-27 06:12:49, ,0,0:15,1:00,,,,,

11,Station 18 CN Copper Plate,2022-07-27 06:13:51, ,0,24:00,24:00,,,,,

12,Station 19 Rinse,2022-07-27 06:39:00, ,0,0:00,1:00,,,,,

13,Station 20 Rinse,2022-07-27 06:41:25, ,0,0:05,1:00,,,,,

14,Station 21 Rinse,2022-07-27 06:42:00, ,0,0:15,1:00,,,,,

15,Station 22 Acid,2022-07-27 06:43:45, ,0,0:15,0:30,,,,,

16,Station 23 Rinse,2022-07-27 06:44:38, ,0,0:00,0:30,,,,,

17,Station 24 Shuttle,2022-07-27 06:47:43, ,0,0:00,0:00,,,,,

18,Station 25 Shuttle,2022-07-27 06:52:00, ,0,0:00,10:00,,,,,

19,Station 26 Acid Copper Plate,2022-07-27 06:55:36, ,0,45:00,46:00,,,,,

20,Station 28 Rinse,2022-07-27 07:41:18, ,0,0:00,0:15,,,,,

21,Station 29 Rinse,2022-07-27 07:41:49, ,0,0:05,0:15,,,,,

22,Station 42 Rinse,2022-07-27 08:58:35, ,0,0:05,0:15,,,,,

23,Station 43 Hot Rinse,2022-07-27 10:33:00, ,0,1:00,2:00,,,,,

24,Station 44 Dryer,2022-07-27 11:01:10, ,0,5:00,9:00,,,,,

25,Station 45 Unload Shuttle,2022-07-27 11:22:24, ,0,0:00,0:00,,,,,

26,Station 51 Unload,2022-07-27 11:23:21, ,0,0:00,0:00,,,,,

27,Station 1 Unload Shuttle,2022-07-27 11:29:14, ,0,0:00,1:00,,,,,

28,Station 4 Que,2022-07-27 11:45:11, ,0,0:00,2:30,,,,,

29,Station 5 Strip,2022-07-27 12:47:41, ,0,7:00,7:30,,,,,

30,Station 6 Rinse,2022-07-27 12:57:48, ,0,0:15,0:15,,,,,

32,Station 52 Load,2022-07-27 04:50:22,2022-07-27 13:12:36,14:48,0:00,10:00,,,,,

