Workbar:,3
Process:,US26D
FileName:,20220919_620 AM

Part Number 1:,
Qty 1:,0

Part Number 2:,
Qty 2:,0

Part Number 3:,
Qty 3:,0

Part Number 4:,
Qty 4:,0

Part Number 5:,
Qty 5:,0


1,Station 7 Load Shuttle,2022-09-19 06:20:59,2022-09-19 06:36:05,15:06,0:01,0:30,,,,,

2,Station 8 Cleaner,2022-09-19 06:36:34,2022-09-19 06:45:34,9:00,4:00,8:30,,,,,

3,Station 9 Rinse,2022-09-19 06:46:04,2022-09-19 06:48:18,2:14,0:00,3:00,,,,,

4,Station 10 Electroclean,2022-09-19 06:48:48,2022-09-19 06:50:57,2:09,2:00,2:10,,,,,

5,Station 11 Rinse,2022-09-19 06:51:28,2022-09-19 06:52:37,1:09,0:00,1:00,,,,,

6,Station 12 Rinse,2022-09-19 06:53:07,2022-09-19 06:54:20,1:13,0:00,1:00,,,,,

7,Station 13 Rinse,2022-09-19 06:54:49,2022-09-19 06:56:14,1:25,0:00,1:00,,,,,

8,Station 14 Acid Clean,2022-09-19 06:56:44,2022-09-19 06:57:17,0:33,0:25,0:30,,,,,

9,Station 15 Rinse,2022-09-19 06:57:47,2022-09-19 06:58:52,1:05,0:00,1:00,,,,,

10,Station 16 Rinse,2022-09-19 06:59:21,2022-09-19 06:59:24,0:03,0:00,0:05,,,,,

11,Station 17 CN Copper Plate,2022-09-19 06:59:55,2022-09-19 07:24:10,24:15,24:00,24:10,,,,,

12,Station 19 Rinse,2022-09-19 07:24:43,2022-09-19 07:28:07,3:24,0:00,5:00,,,,,

13,Station 20 Rinse,2022-09-19 07:28:37,2022-09-19 07:30:05,1:28,0:00,5:00,,,,,

14,Station 21 Rinse,2022-09-19 07:30:34,2022-09-19 07:30:37,0:03,0:00,5:00,,,,,

15,Station 22 Acid,2022-09-19 07:31:06,2022-09-19 07:32:46,1:40,0:00,0:30,,,,,

16,Station 23 Rinse,2022-09-19 07:33:16,2022-09-19 07:34:45,1:29,0:00,5:00,,,,,

17,Station 24 Shuttle,2022-09-19 07:35:15,2022-09-19 07:35:21,0:06,0:00,0:00,,,,,

18,Station 25 Shuttle,2022-09-19 07:35:44,2022-09-19 07:47:34,11:50,0:00,10:00,,,,,

19,Station 26 Acid Copper Plate,2022-09-19 07:48:03,2022-09-19 08:00:33,12:30,12:00,13:00,,,,,

20,Station 28 Rinse,2022-09-19 08:01:05,2022-09-19 08:01:08,0:03,0:00,0:15,,,,,

21,Station 29 Rinse,2022-09-19 08:01:36,2022-09-19 08:01:43,0:07,0:05,0:15,,,,,

22,Station 30 Nickel Activator,2022-09-19 08:02:12,2022-09-19 08:03:19,1:07,1:00,2:00,,,,,

23,Station 34 Nickel Plate,2022-09-19 08:03:54,2022-09-19 08:29:10,25:16,25:00,26:00,,,,,

24,Station 35 Rinse,2022-09-19 08:29:39,2022-09-19 08:29:42,0:03,0:00,0:15,,,,,

25,Station 36 Rinse,2022-09-19 08:30:10,2022-09-19 08:30:43,0:33,0:05,0:15,,,,,

26,Station 39 Acid PreDip,2022-09-19 08:31:16,2022-09-19 08:32:32,1:16,1:00,2:00,,,,,

27,Station 40 Trivalent Chrome,2022-09-19 08:33:02,2022-09-19 08:36:41,3:39,3:30,4:00,,,,,

28,Station 41 Rinse,2022-09-19 08:37:10,2022-09-19 08:37:13,0:03,0:00,0:15,,,,,

29,Station 42 Rinse,2022-09-19 08:37:41,2022-09-19 08:37:48,0:07,0:05,0:15,,,,,

30,Station 43 Hot Rinse,2022-09-19 08:38:16,2022-09-19 08:39:23,1:07,1:00,2:00,,,,,

31,Station 44 Dryer,2022-09-19 08:39:51,2022-09-19 08:46:45,6:54,5:00,9:00,,,,,

32,Station 45 Unload Shuttle,2022-09-19 08:47:18,2022-09-19 08:47:25,0:07,0:00,0:00,,,,,

33,Station 51 Unload,2022-09-19 08:48:15,2022-09-19 08:53:39,5:24,0:00,0:00,,,,,

34,Station 1 Unload Shuttle,2022-09-19 08:54:04,2022-09-19 08:54:45,0:41,0:00,1:00,,,,,

35,Station 3 Que,2022-09-19 08:55:16,2022-09-19 09:30:43,35:27,0:00,2:30,,,,,

36,Station 5 Strip,2022-09-19 09:31:14,2022-09-19 09:39:40,8:26,7:00,7:30,,,,,

37,Station 6 Rinse,2022-09-19 09:40:09,2022-09-19 09:43:55,3:46,0:15,0:16,,,,,

