Workbar:,4
Process:,EmptyLine
FileName:,20220830_1150 AM

Part Number 1:,
Qty 1:,0

Part Number 2:,
Qty 2:,0

Part Number 3:,
Qty 3:,0

Part Number 4:,
Qty 4:,0

Part Number 5:,
Qty 5:,0


1,Station 7 Load Shuttle,2022-08-30 11:51:36,2022-08-30 12:04:55,13:19,0:01,0:02,,,,,

2,Station 8 Cleaner,2022-08-30 12:05:25,2022-08-30 12:12:22,6:57,4:00,5:30,,,,,

3,Station 9 Rinse,2022-08-30 12:12:53,2022-08-30 12:13:50,0:57,0:00,2:00,,,,,

4,Station 10 Electroclean,2022-08-30 12:14:21,2022-08-30 12:16:31,2:10,2:00,2:10,,,,,

5,Station 11 Rinse,2022-08-30 12:17:01,2022-08-30 12:22:32,5:31,0:00,1:30,,,,,

6,Station 12 Rinse,2022-08-30 12:23:02,2022-08-30 12:25:56,2:54,0:05,3:00,,,,,

7,Station 13 Rinse,2022-08-30 12:26:25,2022-08-30 12:26:46,0:21,0:15,2:00,,,,,

8,Station 14 Acid Clean,2022-08-30 12:27:16,2022-08-30 12:27:49,0:33,0:25,0:30,,,,,

9,Station 15 Rinse,2022-08-30 12:28:19,2022-08-30 12:28:22,0:03,0:00,1:00,,,,,

10,Station 16 Rinse,2022-08-30 12:28:51,2022-08-30 12:29:20,0:29,0:15,1:00,,,,,

11,Station 18 CN Copper Plate,2022-08-30 12:29:54,2022-08-30 12:54:13,24:19,24:00,24:10,,,,,

12,Station 19 Rinse,2022-08-30 12:54:43,2022-08-30 12:56:15,1:32,0:00,1:00,,,,,

13,Station 20 Rinse,2022-08-30 12:56:45,2022-08-30 12:56:52,0:07,0:05,1:00,,,,,

14,Station 21 Rinse,2022-08-30 12:57:21,2022-08-31 04:19:32,922:11,1:00,3:00,,,,,

15,Station 22 Acid,2022-08-31 04:20:01,2022-08-31 04:20:24,0:23,0:15,0:30,,,,,

16,Station 23 Rinse,2022-08-31 04:20:54,2022-08-31 04:20:58,0:04,0:00,0:30,,,,,

17,Station 24 Shuttle,2022-08-31 04:21:27,2022-08-31 04:21:33,0:06,0:00,0:00,,,,,

18,Station 25 Shuttle,2022-08-31 04:21:57,2022-08-31 04:22:38,0:41,0:00,10:00,,,,,

19,Station 26 Acid Copper Plate,2022-08-31 04:23:07,2022-08-31 04:35:18,12:11,12:00,13:00,,,,,

20,Station 28 Rinse,2022-08-31 04:35:50,2022-08-31 04:35:52,0:02,0:00,0:15,,,,,

21,Station 29 Rinse,2022-08-31 04:36:20,2022-08-31 04:36:27,0:07,0:05,0:15,,,,,

22,Station 30 Nickel Activator,2022-08-31 04:36:56,2022-08-31 04:38:04,1:08,1:00,2:00,,,,,

23,Station 34 Nickel Plate,2022-08-31 04:38:39,2022-08-31 05:03:55,25:16,25:00,26:00,,,,,

24,Station 35 Rinse,2022-08-31 05:04:24,2022-08-31 05:04:26,0:02,0:00,0:15,,,,,

25,Station 36 Rinse,2022-08-31 05:04:54,2022-08-31 05:05:27,0:33,0:05,0:15,,,,,

26,Station 39 Acid PreDip,2022-08-31 05:06:00,2022-08-31 05:07:37,1:37,1:00,2:00,,,,,

27,Station 40 Trivalent Chrome,2022-08-31 05:08:06,2022-08-31 05:11:45,3:39,3:30,4:00,,,,,

28,Station 41 Rinse,2022-08-31 05:12:14,2022-08-31 05:12:17,0:03,0:00,0:15,,,,,

29,Station 42 Rinse,2022-08-31 05:12:44,2022-08-31 05:12:51,0:07,0:05,0:15,,,,,

30,Station 43 Hot Rinse,2022-08-31 05:13:19,2022-08-31 05:16:09,2:50,1:00,2:00,,,,,

31,Station 44 Dryer,2022-08-31 05:16:38,2022-08-31 05:24:39,8:01,5:00,9:00,,,,,

32,Station 45 Unload Shuttle,2022-08-31 05:25:12,2022-08-31 05:25:20,0:08,0:00,0:00,,,,,

33,Station 51 Unload,2022-08-31 05:26:10,2022-08-31 05:26:26,0:16,0:00,0:00,,,,,

34,Station 1 Unload Shuttle,2022-08-31 05:26:50,2022-08-31 05:28:40,1:50,0:00,1:00,,,,,

35,Station 2 Que,2022-08-31 05:29:09,2022-08-31 06:22:05,52:56,0:00,2:30,,,,,

36,Station 5 Strip,2022-08-31 06:22:37,2022-08-31 06:31:06,8:29,7:00,7:30,,,,,

37,Station 6 Rinse,2022-08-31 06:31:36,2022-08-31 06:39:32,7:56,0:15,0:16,,,,,

