Workbar:,9
Process:,US26D
FileName:,20220930_728 AM

Part Number 1:,
Qty 1:,0

Part Number 2:,
Qty 2:,0

Part Number 3:,
Qty 3:,0

Part Number 4:,
Qty 4:,0

Part Number 5:,
Qty 5:,0


1,Station 7 Load Shuttle,2022-09-30 07:33:38,2022-09-30 07:42:50,9:12,0:01,0:30,,,,,

2,Station 8 Cleaner,2022-09-30 07:43:20,2022-09-30 07:51:10,7:50,4:00,8:30,,,,,

3,Station 9 Rinse,2022-09-30 07:51:41,2022-09-30 07:55:45,4:04,0:00,3:00,,,,,

4,Station 10 Electroclean,2022-09-30 07:56:15,2022-09-30 07:58:25,2:10,2:00,2:10,,,,,

5,Station 11 Rinse,2022-09-30 07:58:55,2022-09-30 08:00:04,1:09,0:00,1:00,,,,,

6,Station 12 Rinse,2022-09-30 08:00:35,2022-09-30 08:01:51,1:16,0:00,1:00,,,,,

7,Station 13 Rinse,2022-09-30 08:02:20,2022-09-30 08:04:10,1:50,0:00,1:00,,,,,

8,Station 14 Acid Clean,2022-09-30 08:04:40,2022-09-30 08:05:13,0:33,0:25,0:30,,,,,

9,Station 15 Rinse,2022-09-30 08:05:43,2022-09-30 08:05:46,0:03,0:00,1:00,,,,,

10,Station 16 Rinse,2022-09-30 08:06:15,2022-09-30 08:06:18,0:03,0:00,0:05,,,,,

11,Station 18 CN Copper Plate,2022-09-30 08:06:50,2022-09-30 08:31:05,24:15,24:00,24:10,,,,,

12,Station 19 Rinse,2022-09-30 08:31:35,2022-09-30 08:35:26,3:51,0:00,5:00,,,,,

13,Station 20 Rinse,2022-09-30 08:35:56,2022-09-30 08:37:08,1:12,0:00,5:00,,,,,

14,Station 21 Rinse,2022-09-30 08:37:37,2022-09-30 08:44:15,6:38,0:00,5:00,,,,,

15,Station 22 Acid,2022-09-30 08:44:45,2022-09-30 08:44:47,0:02,0:00,0:30,,,,,

16,Station 23 Rinse,2022-09-30 08:45:17,2022-09-30 08:47:01,1:44,0:00,5:00,,,,,

17,Station 24 Shuttle,2022-09-30 08:47:31,2022-09-30 08:47:37,0:06,0:00,0:00,,,,,

18,Station 25 Shuttle,2022-09-30 08:48:01,2022-09-30 08:48:42,0:41,0:00,10:00,,,,,

19,Station 26 Acid Copper Plate,2022-09-30 08:49:11,2022-09-30 09:01:22,12:11,12:00,13:00,,,,,

20,Station 28 Rinse,2022-09-30 09:01:54,2022-09-30 09:01:56,0:02,0:00,0:15,,,,,

21,Station 29 Rinse,2022-09-30 09:02:24,2022-09-30 09:02:31,0:07,0:05,0:15,,,,,

22,Station 30 Nickel Activator,2022-09-30 09:02:59,2022-09-30 09:26:47,23:48,1:00,2:00,,,,,

23,Station 33 Nickel Plate,2022-09-30 09:27:21,2022-09-30 09:52:35,25:14,25:00,26:00,,,,,

24,Station 35 Rinse,2022-09-30 09:53:06,2022-09-30 09:53:09,0:03,0:00,0:15,,,,,

25,Station 36 Rinse,2022-09-30 09:53:36,2022-09-30 09:54:10,0:34,0:05,0:15,,,,,

26,Station 39 Acid PreDip,2022-09-30 09:54:43,2022-09-30 09:56:14,1:31,1:00,2:00,,,,,

27,Station 40 Trivalent Chrome,2022-09-30 09:56:42,2022-09-30 10:01:21,4:39,3:30,4:00,,,,,

28,Station 41 Rinse,2022-09-30 10:01:50,2022-09-30 10:01:53,0:03,0:00,0:15,,,,,

29,Station 42 Rinse,2022-09-30 10:02:20,2022-09-30 10:02:27,0:07,0:05,0:15,,,,,

30,Station 43 Hot Rinse,2022-09-30 10:02:55,2022-09-30 10:07:13,4:18,1:00,2:00,,,,,

31,Station 44 Dryer,2022-09-30 10:07:42,2022-09-30 10:13:51,6:09,5:00,9:00,,,,,

32,Station 45 Unload Shuttle,2022-09-30 10:14:23,2022-09-30 10:14:30,0:07,0:00,0:00,,,,,

33,Station 51 Unload,2022-09-30 10:15:40,2022-09-30 10:22:05,6:25,0:00,0:00,,,,,

34,Station 1 Unload Shuttle,2022-09-30 10:22:29,2022-09-30 10:25:52,3:23,0:00,1:00,,,,,

35,Station 3 Que,2022-09-30 10:26:23,2022-09-30 10:37:48,11:25,0:00,2:30,,,,,

36,Station 5 Strip,2022-09-30 10:38:18,2022-09-30 10:48:24,10:06,7:00,7:30,,,,,

37,Station 6 Rinse,2022-09-30 10:48:53,2022-09-30 10:55:31,6:38,0:15,0:16,,,,,

