Workbar:,12
Process:,EmptyLine
FileName:,20220723_903 AM

Part Number 1:,
Qty 1:,0

Part Number 2:,
Qty 2:,0

Part Number 3:,
Qty 3:,0

Part Number 4:,
Qty 4:,0

Part Number 5:,
Qty 5:,0


1,Station 7 Load Shuttle,2022-07-23 09:04:05,2022-07-23 09:12:19,8:14,0:01,0:02,,,,,

2,Station 8 Cleaner,2022-07-23 09:12:49,2022-07-23 09:18:55,6:06,4:00,5:30,,,,,

3,Station 9 Rinse,2022-07-23 09:19:25,2022-07-23 09:24:12,4:47,0:00,2:00,,,,,

4,Station 10 Electroclean,2022-07-23 09:24:42,2022-07-23 09:26:59,2:17,2:00,2:10,,,,,

5,Station 11 Rinse,2022-07-23 09:27:29,2022-07-23 09:36:47,9:18,0:00,1:30,,,,,

6,Station 12 Rinse,2022-07-23 09:37:17,2022-07-23 09:40:37,3:20,0:05,3:00,,,,,

7,Station 13 Rinse,2022-07-23 09:41:06,2022-07-23 09:43:50,2:44,0:15,2:00,,,,,

8,Station 14 Acid Clean,2022-07-23 09:44:19,2022-07-23 09:44:52,0:33,0:25,0:30,,,,,

9,Station 15 Rinse,2022-07-23 09:45:22,2022-07-23 09:46:12,0:50,0:00,1:00,,,,,

10,Station 16 Rinse,2022-07-23 09:46:41,2022-07-23 09:57:35,10:54,0:15,1:00,,,,,

11,Station 17 CN Copper Plate,2022-07-23 09:58:05,2022-07-23 10:22:17,24:12,24:00,24:10,,,,,

12,Station 19 Rinse,2022-07-23 10:22:50,2022-07-23 10:25:24,2:34,0:00,1:00,,,,,

13,Station 20 Rinse,2022-07-23 10:25:54,2022-07-23 10:26:01,0:07,0:05,1:00,,,,,

14,Station 21 Rinse,2022-07-23 10:26:30,2022-07-23 10:29:38,3:08,1:00,3:00,,,,,

15,Station 22 Acid,2022-07-23 10:30:08,2022-07-23 10:30:31,0:23,0:15,0:30,,,,,

16,Station 23 Rinse,2022-07-23 10:31:01,2022-07-23 10:33:34,2:33,0:00,0:30,,,,,

17,Station 24 Shuttle,2022-07-23 10:34:04,2022-07-23 10:34:10,0:06,0:00,0:00,,,,,

18,Station 25 Shuttle,2022-07-23 10:34:34,2022-07-23 10:34:47,0:13,0:00,10:00,,,,,

19,Station 26 Acid Copper Plate,2022-07-23 10:35:17,2022-07-23 10:47:28,12:11,12:00,13:00,,,,,

20,Station 28 Rinse,2022-07-23 10:47:59,2022-07-23 10:48:01,0:02,0:00,0:15,,,,,

21,Station 29 Rinse,2022-07-23 10:48:29,2022-07-23 10:48:36,0:07,0:05,0:15,,,,,

22,Station 30 Nickel Activator,2022-07-23 10:49:05,2022-07-25 04:08:20,2479:15,1:00,2:00,,,,,

23,Station 33 Nickel Plate,2022-07-25 04:08:53,2022-07-25 04:36:42,27:49,25:00,26:00,,,,,

24,Station 35 Rinse,2022-07-25 04:37:13,2022-07-25 04:37:15,0:02,0:00,0:15,,,,,

25,Station 36 Rinse,2022-07-25 04:37:43,2022-07-25 04:38:16,0:33,0:05,0:15,,,,,

26,Station 39 Acid PreDip,2022-07-25 04:38:49,2022-07-25 04:41:05,2:16,1:00,2:00,,,,,

27,Station 40 Trivalent Chrome,2022-07-25 04:41:34,2022-07-25 04:45:50,4:16,3:30,4:00,,,,,

28,Station 41 Rinse,2022-07-25 04:46:19,2022-07-25 04:46:21,0:02,0:00,0:15,,,,,

29,Station 42 Rinse,2022-07-25 04:46:50,2022-07-25 04:59:34,12:44,0:05,0:15,,,,,

30,Station 43 Hot Rinse,2022-07-25 05:00:03,2022-07-25 05:15:39,15:36,1:00,2:00,,,,,

31,Station 44 Dryer,2022-07-25 05:16:08,2022-07-25 05:37:18,21:10,5:00,9:00,,,,,

32,Station 45 Unload Shuttle,2022-07-25 05:37:51,2022-07-25 05:37:59,0:08,0:00,0:00,,,,,

33,Station 51 Unload,2022-07-25 05:38:49,2022-07-25 05:40:31,1:42,0:00,0:00,,,,,

34,Station 1 Unload Shuttle,2022-07-25 05:40:56,2022-07-25 05:56:00,15:04,0:00,1:00,,,,,

35,Station 4 Que,2022-07-25 05:56:31,2022-07-25 07:02:13,65:42,0:00,2:30,,,,,

36,Station 5 Strip,2022-07-25 07:02:42,2022-07-25 07:10:27,7:45,7:00,7:30,,,,,

37,Station 6 Rinse,2022-07-25 07:10:57,2022-07-25 07:15:06,4:09,0:15,0:15,,,,,

