Workbar:,6
Process:,EmptyLine
FileName:,20220802_749 AM

Part Number 1:,
Qty 1:,0

Part Number 2:,
Qty 2:,0

Part Number 3:,
Qty 3:,0

Part Number 4:,
Qty 4:,0

Part Number 5:,
Qty 5:,0


1,Station 7 Load Shuttle,2022-08-02 09:47:04, ,0,0:01,0:02,,,,,

28,Station 41 Rinse,2022-08-02 07:49:51,2022-08-02 07:51:35,1:44,0:00,0:15,,,,,

29,Station 42 Rinse,2022-08-02 07:52:03,2022-08-02 07:53:30,1:27,0:05,0:15,,,,,

30,Station 43 Hot Rinse,2022-08-02 07:53:59,2022-08-02 07:59:19,5:20,1:00,2:00,,,,,

31,Station 44 Dryer,2022-08-02 07:59:48,2022-08-02 08:29:22,29:34,5:00,9:00,,,,,

32,Station 45 Unload Shuttle,2022-08-02 08:29:55,2022-08-02 08:30:02,0:07,0:00,0:00,,,,,

33,Station 51 Unload,2022-08-02 08:30:52,2022-08-02 08:32:34,1:42,0:00,0:00,,,,,

34,Station 1 Unload Shuttle,2022-08-02 08:32:58,2022-08-02 08:54:33,21:35,0:00,1:00,,,,,

35,Station 4 Que,2022-08-02 08:55:05,2022-08-02 09:37:26,42:21,0:00,2:30,,,,,

36,Station 5 Strip,2022-08-02 09:37:55,2022-08-02 09:45:39,7:44,7:00,7:30,,,,,

37,Station 6 Rinse,2022-08-02 09:46:09,2022-08-02 09:46:34,0:25,0:15,0:15,,,,,

