Workbar:,5
Process:,EmptyLine
FileName:,20220829_646 AM

Part Number 1:,
Qty 1:,0

Part Number 2:,
Qty 2:,0

Part Number 3:,
Qty 3:,0

Part Number 4:,
Qty 4:,0

Part Number 5:,
Qty 5:,0


1,Station 7 Load Shuttle,2022-08-30 06:55:18, ,0,0:01,0:02,,,,,

9,Station 15 Rinse,2022-08-29 12:05:55, ,0,0:00,1:00,,,,,

10,Station 16 Rinse,2022-08-29 12:09:44, ,0,0:15,1:00,,,,,

11,Station 17 CN Copper Plate,2022-08-29 12:11:50, ,0,24:00,24:10,,,,,

12,Station 19 Rinse,2022-08-30 04:14:44, ,0,0:00,1:00,,,,,

13,Station 20 Rinse,2022-08-30 04:17:16, ,0,0:05,1:00,,,,,

14,Station 21 Rinse,2022-08-30 04:36:02, ,0,1:00,3:00,,,,,

15,Station 22 Acid,2022-08-30 04:39:31, ,0,0:15,0:30,,,,,

16,Station 23 Rinse,2022-08-30 04:45:09, ,0,0:00,0:30,,,,,

17,Station 24 Shuttle,2022-08-30 04:48:37, ,0,0:00,0:00,,,,,

18,Station 25 Shuttle,2022-08-30 04:49:07, ,0,0:00,10:00,,,,,

19,Station 27 Acid Copper Plate,2022-08-30 04:49:52, ,0,12:00,13:00,,,,,

20,Station 28 Rinse,2022-08-30 05:02:30, ,0,0:00,0:15,,,,,

21,Station 29 Rinse,2022-08-30 05:03:01, ,0,0:05,0:15,,,,,

22,Station 30 Nickel Activator,2022-08-30 05:03:37, ,0,1:00,2:00,,,,,

23,Station 34 Nickel Plate,2022-08-30 05:05:19, ,0,25:00,26:00,,,,,

24,Station 35 Rinse,2022-08-30 05:31:29, ,0,0:00,0:15,,,,,

25,Station 36 Rinse,2022-08-30 05:32:00, ,0,0:05,0:15,,,,,

26,Station 39 Acid PreDip,2022-08-30 05:33:06, ,0,1:00,2:00,,,,,

27,Station 40 Trivalent Chrome,2022-08-30 05:36:15, ,0,3:30,4:00,,,,,

28,Station 41 Rinse,2022-08-30 05:40:23, ,0,0:00,0:15,,,,,

29,Station 42 Rinse,2022-08-29 06:46:22,2022-08-29 07:04:16,17:54,0:05,0:15,,,,,

30,Station 43 Hot Rinse,2022-08-29 07:04:44,2022-08-29 07:05:45,1:01,1:00,2:00,,,,,

31,Station 44 Dryer,2022-08-29 07:06:14,2022-08-29 07:11:15,5:01,5:00,9:00,,,,,

32,Station 45 Unload Shuttle,2022-08-29 07:11:48,2022-08-29 07:11:54,0:06,0:00,0:00,,,,,

33,Station 51 Unload,2022-08-29 07:12:44,2022-08-29 07:15:19,2:35,0:00,0:00,,,,,

34,Station 1 Unload Shuttle,2022-08-29 07:15:43,2022-08-29 07:18:23,2:40,0:00,1:00,,,,,

35,Station 3 Que,2022-08-29 07:18:53,2022-08-29 10:24:31,185:38,0:00,2:30,,,,,

36,Station 5 Strip,2022-08-29 10:25:02,2022-08-29 10:33:08,8:06,7:00,7:30,,,,,

37,Station 6 Rinse,2022-08-29 10:33:38,2022-08-30 06:54:47,1221:09,0:15,0:16,,,,,

