Workbar:,5
Process:,NickelOnly
FileName:,20220805_415 AM

Part Number 1:,
Qty 1:,0

Part Number 2:,
Qty 2:,0

Part Number 3:,
Qty 3:,0

Part Number 4:,
Qty 4:,0

Part Number 5:,
Qty 5:,0


1,Station 7 Load Shuttle,2022-08-05 04:15:36,2022-08-05 04:21:32,5:56,0:00,0:45,,,,,

2,Station 8 Cleaner,2022-08-05 04:22:01,2022-08-05 04:27:40,5:39,4:00,5:30,,,,,

3,Station 9 Rinse,2022-08-05 04:28:10,2022-08-05 04:36:37,8:27,0:00,2:00,,,,,

4,Station 10 Electroclean,2022-08-05 04:37:07,2022-08-05 04:39:25,2:18,2:00,2:10,,,,,

5,Station 11 Rinse,2022-08-05 04:39:55,2022-08-05 04:42:42,2:47,0:00,1:30,,,,,

6,Station 12 Rinse,2022-08-05 04:43:12,2022-08-05 04:54:16,11:04,0:05,3:00,,,,,

7,Station 13 Rinse,2022-08-05 04:54:45,2022-08-05 04:55:32,0:47,0:15,2:00,,,,,

8,Station 14 Acid Clean,2022-08-05 04:56:01,2022-08-05 04:56:34,0:33,0:25,0:30,,,,,

9,Station 15 Rinse,2022-08-05 04:57:04,2022-08-05 04:59:18,2:14,0:00,1:00,,,,,

10,Station 16 Rinse,2022-08-05 04:59:46,2022-08-05 05:00:45,0:59,0:15,1:00,,,,,

11,Station 17 CN Copper Plate,2022-08-05 05:01:14,2022-08-05 05:25:39,24:25,24:00,24:00,,,,,

12,Station 19 Rinse,2022-08-05 05:26:11,2022-08-05 05:27:07,0:56,0:00,1:00,,,,,

13,Station 20 Rinse,2022-08-05 05:27:36,2022-08-05 05:27:43,0:07,0:05,1:00,,,,,

14,Station 21 Rinse,2022-08-05 05:28:11,2022-08-05 05:30:27,2:16,0:15,2:00,,,,,

15,Station 22 Acid,2022-08-05 05:30:55,2022-08-05 05:31:19,0:24,0:15,0:30,,,,,

16,Station 23 Rinse,2022-08-05 05:31:48,2022-08-05 05:34:35,2:47,0:00,0:30,,,,,

17,Station 24 Shuttle,2022-08-05 05:35:04,2022-08-05 05:35:10,0:06,0:00,0:00,,,,,

18,Station 25 Shuttle,2022-08-05 05:35:34,2022-08-05 05:36:08,0:34,0:00,10:00,,,,,

19,Station 26 Acid Copper Plate,2022-08-05 05:36:38,2022-08-05 05:49:43,13:05,12:00,13:00,,,,,

20,Station 28 Rinse,2022-08-05 05:50:14,2022-08-05 05:50:16,0:02,0:00,0:15,,,,,

21,Station 29 Rinse,2022-08-05 05:50:44,2022-08-05 05:50:51,0:07,0:05,0:15,,,,,

22,Station 30 Nickel Activator,2022-08-05 05:51:20,2022-08-05 06:01:41,10:21,1:00,2:00,,,,,

23,Station 31 Nickel Plate,2022-08-05 06:02:10,2022-08-05 06:27:19,25:09,25:00,26:00,,,,,

24,Station 35 Rinse,2022-08-05 06:27:54,2022-08-05 06:27:57,0:03,0:00,0:15,,,,,

25,Station 36 Rinse,2022-08-05 06:28:24,2022-08-05 06:28:59,0:35,0:05,0:15,,,,,

26,Station 42 Rinse,2022-08-05 06:29:38,2022-08-05 06:44:55,15:17,0:05,0:15,,,,,

27,Station 43 Hot Rinse,2022-08-05 06:45:24,2022-08-05 07:07:07,21:43,1:00,2:00,,,,,

28,Station 44 Dryer,2022-08-05 07:07:36,2022-08-05 07:30:05,22:29,5:00,9:00,,,,,

29,Station 45 Unload Shuttle,2022-08-05 07:30:38,2022-08-05 07:30:45,0:07,0:00,0:00,,,,,

30,Station 51 Unload,2022-08-05 07:31:35,2022-08-05 07:34:37,3:02,0:00,0:00,,,,,

31,Station 1 Unload Shuttle,2022-08-05 07:35:01,2022-08-05 07:35:51,0:50,0:00,1:00,,,,,

32,Station 3 Que,2022-08-05 07:36:21,2022-08-05 09:41:53,125:32,0:00,2:30,,,,,

33,Station 5 Strip,2022-08-05 09:42:23,2022-08-05 09:51:41,9:18,7:00,7:30,,,,,

34,Station 6 Rinse,2022-08-05 09:52:10,2022-08-05 09:52:35,0:25,0:15,0:15,,,,,

