Workbar:,11
Process:,US26D
FileName:,20220727_621 AM

Part Number 1:,
Qty 1:,0

Part Number 2:,
Qty 2:,0

Part Number 3:,
Qty 3:,0

Part Number 4:,
Qty 4:,0

Part Number 5:,
Qty 5:,0


1,Station 7 Load Shuttle,2022-07-27 06:22:23,2022-07-27 07:22:20,59:57,0:01,0:02,,,,,

2,Station 8 Cleaner,2022-07-27 07:22:50,2022-07-27 07:29:33,6:43,4:00,5:30,,,,,

3,Station 9 Rinse,2022-07-27 07:30:03,2022-07-27 07:36:25,6:22,0:00,2:00,,,,,

4,Station 10 Electroclean,2022-07-27 07:36:55,2022-07-27 07:39:14,2:19,2:00,2:10,,,,,

5,Station 11 Rinse,2022-07-27 07:39:44,2022-07-27 07:41:48,2:04,0:00,1:30,,,,,

6,Station 12 Rinse,2022-07-27 07:42:18,2022-07-27 07:42:25,0:07,0:05,3:00,,,,,

7,Station 13 Rinse,2022-07-27 07:42:54,2022-07-27 07:43:15,0:21,0:15,2:00,,,,,

8,Station 14 Acid Clean,2022-07-27 07:43:45,2022-07-27 07:44:18,0:33,0:25,0:30,,,,,

9,Station 15 Rinse,2022-07-27 07:44:48,2022-07-27 07:44:51,0:03,0:00,1:00,,,,,

10,Station 16 Rinse,2022-07-27 07:45:20,2022-07-27 07:47:46,2:26,0:15,1:00,,,,,

11,Station 18 CN Copper Plate,2022-07-27 07:48:19,2022-07-27 08:49:33,61:14,24:00,24:10,,,,,

12,Station 19 Rinse,2022-07-27 08:50:04,2022-07-27 08:51:48,1:44,0:00,1:00,,,,,

13,Station 20 Rinse,2022-07-27 10:30:55, ,0,0:05,1:00,,,,,

14,Station 21 Rinse,2022-07-27 10:32:50, ,0,1:00,3:00,,,,,

15,Station 22 Acid,2022-07-27 10:37:36, ,0,0:15,0:30,,,,,

16,Station 23 Rinse,2022-07-27 10:38:29, ,0,0:00,0:30,,,,,

17,Station 24 Shuttle,2022-07-27 10:40:51, ,0,0:00,0:00,,,,,

18,Station 25 Shuttle,2022-07-27 10:42:03, ,0,0:00,10:00,,,,,

19,Station 27 Acid Copper Plate,2022-07-27 10:42:48, ,0,12:00,13:00,,,,,

20,Station 28 Rinse,2022-07-27 10:55:26, ,0,0:00,0:15,,,,,

21,Station 29 Rinse,2022-07-27 10:56:01, ,0,0:05,0:15,,,,,

22,Station 30 Nickel Activator,2022-07-27 10:56:36, ,0,1:00,2:00,,,,,

23,Station 34 Nickel Plate,2022-07-27 10:58:18, ,0,25:00,26:00,,,,,

24,Station 35 Rinse,2022-07-27 11:24:42, ,0,0:00,0:15,,,,,

25,Station 36 Rinse,2022-07-27 11:25:12, ,0,0:05,0:15,,,,,

26,Station 39 Acid PreDip,2022-07-27 11:26:18, ,0,1:00,2:00,,,,,

27,Station 40 Trivalent Chrome,2022-07-27 11:28:08, ,0,3:30,4:00,,,,,

28,Station 41 Rinse,2022-07-27 11:32:50, ,0,0:00,0:15,,,,,

29,Station 42 Rinse,2022-07-27 11:48:49, ,0,0:05,0:15,,,,,

30,Station 43 Hot Rinse,2022-07-27 12:02:07, ,0,1:00,2:00,,,,,

31,Station 44 Dryer,2022-07-27 12:31:36, ,0,5:00,9:00,,,,,

32,Station 45 Unload Shuttle,2022-07-27 12:50:33, ,0,0:00,0:00,,,,,

33,Station 51 Unload,2022-07-27 12:51:30, ,0,0:00,0:00,,,,,

34,Station 1 Unload Shuttle,2022-07-27 09:52:06,2022-07-27 13:14:11,202:05,0:00,1:00,,,,,

35,Station 2 Que,2022-07-27 13:14:40,2022-07-27 14:18:09,63:29,0:00,2:30,,,,,

36,Station 5 Strip,2022-07-27 14:18:41,2022-07-28 04:56:57,878:16,7:00,7:30,,,,,

37,Station 6 Rinse,2022-07-28 04:57:27,2022-07-28 04:57:52,0:25,0:15,0:15,,,,,

