Workbar:,6
Process:,US26D
FileName:,20220726_1058 AM

Part Number 1:,
Qty 1:,0

Part Number 2:,
Qty 2:,0

Part Number 3:,
Qty 3:,0

Part Number 4:,
Qty 4:,0

Part Number 5:,
Qty 5:,0


1,Station 7 Load Shuttle,2022-07-26 10:59:39,2022-07-26 11:09:23,9:44,0:01,0:02,,,,,

2,Station 8 Cleaner,2022-07-26 11:09:53,2022-07-26 11:15:14,5:21,4:00,5:30,,,,,

3,Station 9 Rinse,2022-07-26 11:15:45,2022-07-26 11:15:47,0:02,0:00,2:00,,,,,

4,Station 10 Electroclean,2022-07-26 11:16:17,2022-07-26 11:18:27,2:10,2:00,2:10,,,,,

5,Station 11 Rinse,2022-07-26 11:18:57,2022-07-26 11:21:37,2:40,0:00,1:30,,,,,

6,Station 12 Rinse,2022-07-26 11:22:07,2022-07-26 11:36:12,14:05,0:05,3:00,,,,,

7,Station 13 Rinse,2022-07-26 11:36:41,2022-07-26 11:37:02,0:21,0:15,2:00,,,,,

8,Station 14 Acid Clean,2022-07-26 11:37:32,2022-07-26 11:38:06,0:34,0:25,0:30,,,,,

9,Station 15 Rinse,2022-07-26 11:38:35,2022-07-26 11:40:38,2:03,0:00,1:00,,,,,

10,Station 16 Rinse,2022-07-26 11:41:08,2022-07-26 11:41:38,0:30,0:15,1:00,,,,,

11,Station 18 CN Copper Plate,2022-07-26 11:42:11,2022-07-26 12:06:32,24:21,24:00,24:10,,,,,

12,Station 19 Rinse,2022-07-26 12:07:02,2022-07-26 12:07:04,0:02,0:00,1:00,,,,,

13,Station 20 Rinse,2022-07-26 12:07:34,2022-07-26 12:10:19,2:45,0:05,1:00,,,,,

14,Station 21 Rinse,2022-07-26 12:10:47,2022-07-26 12:14:44,3:57,1:00,3:00,,,,,

15,Station 22 Acid,2022-07-26 12:15:13,2022-07-26 12:15:36,0:23,0:15,0:30,,,,,

16,Station 23 Rinse,2022-07-26 12:16:06,2022-07-26 12:16:09,0:03,0:00,0:30,,,,,

17,Station 24 Shuttle,2022-07-26 12:16:39,2022-07-26 12:16:45,0:06,0:00,0:00,,,,,

18,Station 25 Shuttle,2022-07-26 12:17:09,2022-07-26 12:17:45,0:36,0:00,10:00,,,,,

19,Station 26 Acid Copper Plate,2022-07-26 12:18:14,2022-07-26 12:32:01,13:47,12:00,13:00,,,,,

20,Station 28 Rinse,2022-07-26 12:32:32,2022-07-26 12:32:34,0:02,0:00,0:15,,,,,

21,Station 29 Rinse,2022-07-26 12:33:02,2022-07-26 12:33:08,0:06,0:05,0:15,,,,,

22,Station 30 Nickel Activator,2022-07-26 12:33:37,2022-07-26 12:36:09,2:32,1:00,2:00,,,,,

23,Station 33 Nickel Plate,2022-07-26 12:36:43,2022-07-26 13:01:57,25:14,25:00,26:00,,,,,

24,Station 35 Rinse,2022-07-26 13:02:28,2022-07-26 13:02:30,0:02,0:00,0:15,,,,,

25,Station 36 Rinse,2022-07-26 13:02:58,2022-07-26 13:03:31,0:33,0:05,0:15,,,,,

26,Station 39 Acid PreDip,2022-07-26 13:04:04,2022-07-26 13:05:15,1:11,1:00,2:00,,,,,

27,Station 40 Trivalent Chrome,2022-07-26 13:05:45,2022-07-26 13:09:24,3:39,3:30,4:00,,,,,

28,Station 41 Rinse,2022-07-26 13:09:53,2022-07-26 13:35:27,25:34,0:00,0:15,,,,,

29,Station 42 Rinse,2022-07-26 13:35:54,2022-07-26 13:52:08,16:14,0:05,0:15,,,,,

30,Station 43 Hot Rinse,2022-07-26 13:52:36,2022-07-26 14:09:25,16:49,1:00,2:00,,,,,

31,Station 44 Dryer,2022-07-26 14:09:54,2022-07-26 14:33:16,23:22,5:00,9:00,,,,,

32,Station 45 Unload Shuttle,2022-07-26 14:33:49,2022-07-26 14:33:56,0:07,0:00,0:00,,,,,

33,Station 51 Unload,2022-07-26 14:34:46,2022-07-26 14:38:56,4:10,0:00,0:00,,,,,

34,Station 1 Unload Shuttle,2022-07-26 14:39:21,2022-07-27 04:29:55,830:34,0:00,1:00,,,,,

35,Station 2 Que,2022-07-27 04:30:24,2022-07-27 05:40:47,70:23,0:00,2:30,,,,,

36,Station 5 Strip,2022-07-27 05:41:18,2022-07-27 05:50:17,8:59,7:00,7:30,,,,,

37,Station 6 Rinse,2022-07-27 05:50:47,2022-07-27 05:52:46,1:59,0:15,0:15,,,,,

